name,team,agents,rounds,rating,ACS,KD,ADR,KPR,APR,FKPR
NiSMO,M80,"['kayo', 'raze']",182,1.34,276.1,1.46,177.3,0.95,0.38,0.19
Jremy,TS,"['chamber', 'raze', 'kayo']",124,1.21,238.0,1.33,155.1,0.85,0.27,0.15
yay,C9,"['chamber', 'jett']",1958,1.2,249.1,1.36,158.4,0.9,0.13,0.2
Alfajer,FNC,"['raze', 'killjoy', 'viper']",688,1.2,258.0,1.29,168.7,0.89,0.23,0.14
Leo,FNC,"['viper', 'sova', 'breach']",674,1.19,218.9,1.26,144.8,0.78,0.33,0.08
penny,G2,"['jett', 'chamber']",342,1.16,241.2,1.23,151.9,0.85,0.16,0.15
aproto,BRK,"['omen', 'brimstone', 'astra']",182,1.16,215.4,1.23,129.2,0.76,0.39,0.06
Cryocells,100T,"['jett', 'chamber']",921,1.15,237.5,1.33,147.7,0.89,0.11,0.16
Derke,FNC,"['jett', 'raze', 'chamber']",913,1.14,247.8,1.24,162.0,0.88,0.15,0.21
TS,GEN,"['sova', 'skye', 'chamber']",171,1.14,218.4,1.09,143.3,0.75,0.32,0.09
Shao,NAVI,"['astra', 'sage', 'sova']",1591,1.14,208.1,1.16,139.9,0.73,0.34,0.07
Tacolilla,LEV,"['jett', 'skye', 'chamber']",542,1.13,219.0,1.19,135.9,0.77,0.17,0.14
nukkye,GIA,"['sova', 'raze', 'jett']",775,1.12,239.3,1.1,160.6,0.77,0.28,0.11
sheydos,KOI,"['kayo', 'skye', 'sage']",573,1.12,211.1,1.18,135.8,0.76,0.32,0.08
Chronicle,FNC,"['viper', 'chamber', 'brimstone']",573,1.12,241.4,1.17,155.9,0.84,0.21,0.17
Zellsis,C9,"['kayo', 'raze', 'skye']",342,1.12,218.8,1.09,141.4,0.75,0.47,0.12
dicey,FaZe,"['chamber', 'raze', 'sage']",568,1.12,232.6,1.24,151.3,0.84,0.12,0.17
MaKo,DRX,"['omen', 'viper', 'astra']",664,1.11,215.3,1.12,139.6,0.74,0.41,0.09
trexx,KOI,"['cypher', 'raze', 'sova']",674,1.11,236.8,1.16,159.3,0.81,0.28,0.12
Sayf,TL,"['jett', 'raze', 'killjoy']",674,1.11,223.6,1.16,142.5,0.79,0.17,0.15
effys,V1,"['sova', 'breach']",342,1.11,198.3,1.18,128.4,0.73,0.34,0.05
leaf,C9,"['chamber', 'jett', 'viper']",605,1.11,249.8,1.16,158.8,0.86,0.2,0.2
Lmemore,RRQ,"['sova', 'viper', 'chamber']",222,1.1,236.3,1.19,155.6,0.83,0.2,0.14
trent,TGRD,"['viper', 'sova', 'breach']",776,1.1,217.4,1.13,143.0,0.76,0.26,0.07
Bazzi,GES,"['jett', 'raze', 'yoru']",171,1.1,235.3,1.06,145.0,0.78,0.18,0.19
jawgemo,EG,"['kayo', 'raze', 'skye']",620,1.09,246.5,1.08,155.7,0.83,0.28,0.14
kiNgg,LEV,"['kayo', 'raze', 'neon']",542,1.09,224.4,1.11,143.4,0.76,0.29,0.19
nAts,TL,"['sage', 'viper', 'cypher']",573,1.09,221.8,1.15,144.1,0.78,0.28,0.08
f0rsakeN,PRX,"['yoru', 'jett', 'neon']",749,1.09,251.8,1.18,157.7,0.89,0.17,0.21
sScary,BLD,"['astra', 'brimstone', 'omen']",578,1.07,212.7,1.09,142.2,0.74,0.32,0.05
Sacy,SEN,"['sova', 'breach', 'fade']",657,1.07,188.8,1.03,127.2,0.66,0.33,0.05
